Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2019-01-07,64.258,65.148,63.709,64.637,116702
2019-01-08,64.353,65.11,63.463,64.031,124781
2019-01-09,63.652,63.898,62.497,63.217,313692
2019-01-10,63.217,63.217,61.835,62.611,215711
2019-01-11,63.008,63.879,61.57,62.384,218762
2019-01-14,62.384,63.33,61.683,61.778,168757
2019-01-15,62.194,62.952,61.778,62.554,207389
2019-01-16,62.573,62.611,60.112,61.096,308474
2019-01-17,61.058,62.365,61.058,61.854,111012
2019-01-18,62.062,63.917,62.024,63.898,259267
2019-01-21,63.425,63.52,62.497,62.952,97693
2019-01-22,62.952,63.046,62.497,62.762,172370
2019-01-23,62.497,62.687,61.835,62.478,188410
2019-01-24,62.478,63.292,61.91,62.952,248123
2019-01-25,63.255,64.523,62.535,64.182,215142
2019-01-28,64.107,64.277,63.008,64.05,127627
2019-01-29,63.671,64.315,63.046,63.425,161105
2019-01-30,63.539,65.129,62.497,62.573,230281
2019-01-31,63.898,64.921,63.236,64.656,340441
2019-02-01,64.353,65.886,63.52,65.886,216071
2019-02-04,65.792,67.401,65.602,66.454,185777
2019-02-05,66.511,66.738,65.148,66.625,103066
2019-02-06,66.17,66.984,65.167,65.186,171166
2019-02-07,65.186,65.186,63.52,63.52,155687
2019-02-08,63.425,63.747,62.687,62.952,190783
2019-02-11,62.762,63.652,61.854,61.854,188846
2019-02-12,62.478,62.554,61.361,61.57,203894
2019-02-13,61.948,61.948,59.354,59.752,309703
2019-02-14,60.206,60.339,58.73,59.07,376739
2019-02-15,58.976,59.809,58.54,59.657,453885
2019-02-18,59.922,60.377,56.325,57.556,403620
2019-02-19,57.594,57.594,56.231,56.761,371967
2019-02-20,57.272,58.786,56.893,58.502,385468
2019-02-21,58.692,59.506,57.48,58.086,308924
2019-02-22,57.934,59.146,57.934,58.313,309211
2019-02-25,58.578,59.317,57.045,57.329,251316
2019-02-26,57.366,57.575,56.079,57.234,239837
2019-02-27,56.988,58.01,56.496,56.609,227328
2019-02-28,56.704,57.026,54.224,54.527,373450
2019-03-01,53.959,55.625,53.959,55.095,360282
2019-03-04,55.36,56.098,54.47,54.773,172440
2019-03-05,54.905,55,53.163,53.372,206391
2019-03-06,53.864,54.337,52.652,52.879,240413
2019-03-07,52.539,54.413,52.539,53.769,254309
2019-03-08,53.485,53.788,52.179,52.766,149073
2019-03-11,53.296,53.902,52.993,53.239,177120
2019-03-12,53.58,55.208,53.58,54.905,315795
2019-03-13,55.151,57.366,54.886,57.272,327538
2019-03-14,57.48,58.843,55.095,55.397,316043
2019-03-15,53.675,55.663,51.876,55.511,1320965
2019-03-18,55.511,59.449,54.659,58.124,395413
2019-03-19,58.143,59.619,56.893,58.881,737530
2019-03-20,59.335,59.392,57.972,58.446,199676
2019-03-21,58.446,59.373,58.332,58.692,413884
2019-03-22,59.108,59.354,58.143,59.165,217934
2019-03-25,58.881,58.881,57.272,58.2,253785
2019-03-26,58.597,58.597,57.556,58.408,175706
2019-03-27,58.408,59.146,57.972,58.408,146288
2019-03-28,58.54,58.881,57.082,57.158,172876
2019-03-29,57.139,58.446,56.95,57.745,247475
2019-04-01,57.934,59.26,57.745,58.739,178734
2019-04-02,58.502,59.922,58.502,59.544,223037
2019-04-03,59.733,61.011,59.733,60.964,210872
2019-04-04,61.058,61.058,58.124,58.644,165860
2019-04-05,58.644,59.307,56.42,57.272,349262
2019-04-08,56.846,57.65,56.136,57.603,146236
2019-04-09,57.65,58.408,56.656,56.704,222766
2019-04-10,56.704,58.171,56.609,57.366,351233
2019-04-11,57.272,57.461,56.278,56.704,171093
2019-04-12,56.609,57.177,56.089,56.183,87187
2019-04-15,56.183,56.515,55.426,55.663,73380
2019-04-16,56.183,56.325,55.237,55.899,106945
2019-04-17,55.852,57.556,55.852,56.94,159426
2019-04-18,56.515,56.562,55.284,55.615,158532
2019-04-23,55.615,56.94,55.615,56.846,82039
2019-04-24,56.846,57.603,55.426,56.467,272085
2019-04-25,56.467,57.177,56.231,56.893,292495
2019-04-26,56.467,57.272,55.426,56.183,166336
2019-04-29,56.041,56.94,55.615,55.757,127986
2019-04-30,55.615,55.757,54.337,54.953,164685
2019-05-02,54.432,54.479,53.201,53.438,203154
2019-05-06,52.823,53.817,52.539,53.059,178080
2019-05-07,53.012,53.012,48.657,49.604,646338
2019-05-08,49.367,50.077,47.143,47.2,292868
2019-05-09,46.385,47.521,44.227,44.681,389604
2019-05-10,45.439,48.279,45.439,47.332,357097
2019-05-13,47.663,48.563,46.045,46.613,145354
2019-05-14,46.859,47.521,45.268,46.291,364664
2019-05-15,46.859,47.313,45.893,46.65,160286
2019-05-16,46.859,47.947,46.101,46.878,193677
2019-05-17,49.225,50.977,48.468,50.551,352518
2019-05-20,50.645,52.302,50.03,50.645,411689
2019-05-21,51.024,51.829,49.699,51.545,268755
2019-05-22,51.592,51.687,50.219,50.929,173513
2019-05-23,50.882,50.882,48.373,48.61,120833
2019-05-24,48.373,49.509,47.616,49.509,116993
2019-05-27,49.178,49.509,47.9,48.752,42696
2019-05-28,48.326,48.847,46.385,46.385,586376
2019-05-29,46.385,47.569,46.177,46.632,250950
2019-05-30,47.332,48.941,47.2,47.521,240657
2019-05-31,47.474,47.663,46.385,47.521,307749
2019-06-03,46.972,50.503,46.934,50.125,314860
2019-06-04,50.314,52.444,48.373,48.563,454462
2019-06-05,48.752,49.036,48.137,48.184,111485
2019-06-06,48.137,48.421,46.253,46.329,321670
2019-06-07,46.669,47.143,46.291,46.972,73440
2019-06-10,47.048,47.256,45.78,46.139,193360
2019-06-11,45.931,46.139,43.167,43.356,608381
2019-06-12,43.262,43.564,41.217,41.463,421341
2019-06-13,41.482,42.504,41.463,41.482,378200
2019-06-14,41.652,42.769,41.633,42.126,298994
2019-06-17,42.599,42.637,41.785,42.144,135581
2019-06-18,41.898,43.129,41.898,43.11,234190
2019-06-19,43.091,43.924,41.86,42.163,194895
2019-06-21,42.41,42.41,40.478,40.478,653787
2019-06-24,40.478,42.41,40.478,41.766,181439
2019-06-25,41.766,42.826,41.179,41.501,171073
2019-06-26,41.879,42.864,41.444,42.315,247601
2019-06-27,43.072,45.382,42.712,45.363,350772
2019-06-28,45.439,45.912,43.886,44.681,254506
2019-07-01,44.7,45.59,43.337,43.375,229481
2019-07-02,43.375,44.492,42.694,44.492,161872
2019-07-03,44.587,45.212,43.072,43.356,196741
2019-07-04,43.64,43.697,42.788,43.167,98241
2019-07-05,43.451,43.697,41.993,41.993,192337
2019-07-08,42.126,42.504,41.33,41.425,419920
2019-07-09,41.652,42.599,41.425,42.485,162640
2019-07-10,42.599,43.811,42.599,43.299,260858
2019-07-11,43.792,43.792,42.428,42.788,157570
2019-07-12,43.129,43.28,42.58,42.618,91453
2019-07-15,42.731,43.356,42.561,42.864,75192
2019-07-16,42.959,43.129,41.406,41.823,231122
2019-07-17,41.633,42.182,40.403,40.592,225989
2019-07-18,40.611,40.971,40.232,40.308,105858
2019-07-19,40.8,41.539,40.554,40.952,189259
2019-07-22,41.293,41.293,40.043,40.081,129684
2019-07-23,40.327,40.403,39.57,39.683,150681
2019-07-24,39.589,39.589,38.15,39.286,280722
2019-07-25,39.551,40.554,38.926,40.327,395943
2019-07-26,40.327,40.611,39.891,40.422,257105
2019-07-29,40.232,40.554,38.85,39.039,145346
2019-07-30,39.039,39.286,37.904,38.017,171751
2019-07-31,38.074,38.169,36.73,37.033,370175
2019-08-01,37.07,37.525,34.836,35.215,365297
2019-08-02,35.101,35.291,33.965,34.003,267741
2019-08-05,33.89,34.912,32.943,33.076,266312
2019-08-06,33.246,34.079,32.28,32.432,408989
2019-08-07,32.716,33,32.053,32.167,306167
2019-08-08,32.659,33.984,32.659,33.871,326843
2019-08-09,34.117,34.95,32.924,33.852,289568
2019-08-12,33.435,33.7,31.296,31.315,423951
2019-08-13,31.428,34.931,31.391,34.742,498504
2019-08-14,35.007,35.026,32.053,32.091,623760
2019-08-16,32.224,32.83,30.217,31.845,413907
2019-08-19,32.432,33.852,32.432,33.095,504988
2019-08-20,33.322,33.322,31.466,32.243,436651
2019-08-21,32.337,33.284,31.542,31.561,520740
2019-08-22,31.428,31.656,30.539,30.614,283527
2019-08-23,31.523,31.978,29.497,30.16,472430
2019-08-26,29.8,30.4,29.22,29.38,285120
2019-08-27,29.3,29.82,28.12,28.52,681228
2019-08-28,28.4,28.4,27.22,27.7,464227
2019-08-29,27.58,29.5,27.22,28.88,403522
2019-08-30,29,30.14,29,29.72,371751
2019-09-02,30,30.1,28.72,29.14,240875
2019-09-03,29.16,29.16,27.54,27.68,352749
2019-09-04,27.96,28.16,26.34,26.5,615326
2019-09-05,26.98,28.54,26.1,28.32,579789
2019-09-06,28.34,29.36,27.68,28.38,586195
2019-09-09,28.2,29.46,28,28.2,369360
2019-09-10,28.32,28.46,27.4,28.06,387066
2019-09-11,28.16,29,27.54,28.04,497977
2019-09-12,28.26,28.7,27.7,28.1,296510
2019-09-13,28.2,28.58,27.84,28.02,173274
2019-09-16,28.38,28.92,27.86,28.86,393683
2019-09-17,28.8,29.12,28.06,28.4,528931
2019-09-18,28.4,28.4,27.74,27.96,440721
2019-09-19,27.9,27.9,26.3,26.4,624311
2019-09-20,26.4,26.66,25.96,26,580616
2019-09-23,26.18,26.48,23.62,24.08,896524
2019-09-24,24,24.3,22.86,23.76,684549
2019-09-25,23.88,23.94,22.76,23.26,544393
2019-09-26,23.66,23.78,22.58,22.66,591925
2019-09-27,22.66,23.28,22.12,22.98,498604
2019-09-30,23.16,23.18,21.46,21.78,674462
2019-10-01,22.1,22.1,21.02,21.46,826538
2019-10-02,21.4,21.64,20.26,20.26,772505
2019-10-03,20.12,20.96,19.49,20.1,770577
2019-10-04,20.48,21.16,20.1,20.66,848792
2019-10-07,21.2,21.2,19.85,20.08,785064
2019-10-08,20,20.22,19.1,19.13,917831
2019-10-09,19.15,20.38,18.83,20,993683
2019-10-10,20.5,21.28,20.04,21.24,1416116
2019-10-11,21.86,23.88,21.6,23.4,2066251
2019-10-14,24,24.36,21.5,21.5,2075210
2019-10-15,21.64,22.58,20.32,20.7,2057965
2019-10-16,20.7,21.1,20.24,20.5,767686
2019-10-17,20.56,20.8,19.78,19.8,1402327
2019-10-18,19.86,19.92,18.86,19.03,2418435
2019-10-21,19.2,22.14,19.15,22.14,2101775
2019-10-22,22.48,22.8,20.24,20.74,2376929
2019-10-23,20.74,21.2,19.85,20.02,1379130
2019-10-24,20.16,20.84,19.52,20.2,1318833
2019-10-25,20.46,21.16,20.22,20.64,1156676
2019-10-28,20.96,20.96,19.82,20.12,1440071
2019-10-29,20.2,20.9,20.02,20.38,734494
2019-10-30,20.42,20.42,19.7,19.85,876076
2019-10-31,19.9,19.97,19.08,19.36,1277868
2019-11-04,19.6,20.56,17.42,20.56,3520555
2019-11-05,20.98,21.86,20.56,21.42,2609640
2019-11-06,21.4,22.4,21.06,21.8,1200866
2019-11-07,22,22.14,20.8,21.06,1364015
2019-11-08,20.72,21.54,19.62,20.8,2704509
2019-11-12,21.46,21.46,20,20,1330428
2019-11-13,20,20.34,19.7,19.97,653122
2019-11-14,19.98,20.98,19.83,20.58,908011
2019-11-15,20.64,20.84,20.06,20.28,490635
2019-11-18,20.3,20.8,20.08,20.36,722470
2019-11-19,20.36,20.8,20.36,20.56,444508
2019-11-20,20.7,20.7,20.14,20.44,714688
2019-11-21,20.34,21.08,20,20.88,1082733
2019-11-22,21.5,22.18,20.72,20.86,1701176
2019-11-25,20.86,21.38,20.22,20.22,1166088
2019-11-26,20.32,21.14,20.06,21,6904436
2019-11-27,21.26,21.58,20.6,20.8,1260774
2019-11-28,20.7,21.16,20.58,20.7,280217
2019-11-29,20.7,21.22,20.44,20.9,786382
2019-12-02,21,21.48,20.44,20.44,972564
2019-12-03,20.4,20.6,19.53,19.6,1308433
2019-12-04,19.5,19.93,18.8,18.8,2025376
2019-12-05,18.95,19.19,18.38,18.87,1005849
2019-12-06,18.88,19.86,18.48,19.63,925175
2019-12-09,19.7,20.52,19.39,20.52,1005236
2019-12-10,20.48,21.04,20.24,20.48,1026828
2019-12-11,20.48,20.66,19.9,20.36,600065
2019-12-12,20.4,20.78,20.3,20.76,530785
2019-12-13,20.92,21.18,20.54,20.56,609697
2019-12-16,20.54,20.74,20.32,20.6,262174
2019-12-17,20.68,20.76,20.12,20.56,417785
2019-12-18,20.5,20.52,19.9,20.2,990932
2019-12-19,20.24,20.32,19.82,20,581294
2019-12-20,20,20.3,19.81,19.81,976091
2019-12-23,19.81,20.16,19.67,20.02,639872
2019-12-27,20.16,20.88,20.1,20.6,632619
2019-12-30,20.66,21.42,20.44,21.38,999221
2020-01-02,21.86,24.24,21.68,24.24,2279639
2020-01-03,23.96,24.14,23.14,23.28,1517380
2020-01-07,23.74,24.58,23.68,24.22,1477786
2020-01-08,23.98,25.5,21.7,21.88,3412091
2020-01-09,22.3,22.74,21.44,22.44,1971931
2020-01-10,22.94,22.98,22.22,22.54,901070
2020-01-13,22.9,22.9,22.32,22.7,749645
2020-01-14,22.86,24.16,22.8,23.64,1609072
2020-01-15,23.7,23.92,23.2,23.58,619121
2020-01-16,23.7,23.72,22.7,23.1,984845
2020-01-17,22.9,23.2,22.42,22.68,600074
2020-01-20,22.9,22.9,21.52,21.64,1247202
2020-01-21,21.5,21.82,20.88,21.14,981897
2020-01-22,21.12,21.66,20.78,20.94,636518
2020-01-23,20.8,21.08,20.34,20.56,634891
2020-01-24,20.58,20.88,20.5,20.54,325458
2020-01-27,20.38,20.44,19.04,19.2,1133956
2020-01-28,19.36,20.14,18.6,20.14,1175591
2020-01-29,20.32,20.9,19.91,19.99,936354
2020-01-30,19.5,19.74,19.1,19.25,831301
2020-01-31,19.25,19.4,18.6,18.8,1188612
2020-02-03,18.8,19.86,17.55,19.71,1962088
2020-02-04,20.3,20.6,19.28,19.78,1314946
2020-02-05,19.71,19.96,19.24,19.24,723542
2020-02-06,19.27,19.49,18.55,18.89,736380
2020-02-07,18.95,19.07,18.47,18.79,808446
2020-02-10,19,19.06,18.12,18.2,554424
2020-02-11,18.38,18.54,17.91,18.35,686869
2020-02-12,18.56,19.1,18.37,18.84,940206
2020-02-13,18.68,18.8,17.96,18.02,1099243
2020-02-14,18.1,18.32,17.68,17.88,768587
2020-02-17,17.94,18.38,17.77,18.3,334137
2020-02-18,18.12,18.24,17.85,17.85,491705
2020-02-19,17.84,17.98,17.04,17.18,1830643
2020-02-20,17.1,17.16,16.01,16.01,1345616
2020-02-21,16,16.46,15.2,16.01,1237248
2020-02-24,15.5,15.77,14.74,14.75,1456556
2020-02-25,14.8,15.16,14.23,14.31,1209698
2020-02-26,14.01,14.63,13.73,14.3,1390378
2020-02-27,14.1,14.14,12.94,13.11,1612924
2020-02-28,12.44,14.98,12.11,13.53,3443956
